Delta,State variable,Smoothing,Residuals,Standard deviation,Variance,Lag-1 AC,Lag-2 AC,Lag-3 AC,Lag-6 AC,Coefficient of variation,Skewness,Kurtosis,AIC fold,AIC hopf,AIC null,Coherence factor,Params fold,Params hopf,Params null,Smax
0.105,16.551705135369787,16.632295754128613,-0.08059061875882634,0.12552820686311256,0.015757330718268375,0.643136962336134,0.29187322101197904,0.058298354857387366,-0.1430935072815257,0.007547258717883222,-0.01296968631365544,-0.04012161112085165,0.07678637602172518,0.9232136239782349,3.9849199361832594e-14,0.0012631507959319397,"{'sigma': 0.0887204365347464, 'lam': -0.8224626110295654}","{'sigma': 0.026228487473509476, 'mu': -0.1294155013716476, 'w0': 0.3823591493420818, 'delta': 4.3520742565306136e-14, 'psi': 0.2}",{'sigma': 0.060583902468440275},0.0025263015918638794
0.11,17.124608672804285,17.192637067060907,-0.068028394256622,0.12030079421113822,0.014472281087830626,0.6080829231982705,0.22872611148613292,0.007495809494427477,-0.11089766163213959,0.00699722849510609,0.04939288899086831,0.04456878234898854,0.9999342407148814,6.57592850398907e-05,7.876534360084799e-14,0.0010447013966971455,"{'sigma': 0.08959044058053256, 'lam': -0.905562659771376}","{'sigma': 0.024136580041024924, 'mu': -0.12995426343278327, 'w0': 0.3839509262339367, 'delta': 8.833822562337446e-12, 'psi': 0.2}",{'sigma': 0.058103529770510434},0.002089402793394291
0.115,17.66326706768601,17.73344439399643,-0.07017732631041795,0.11749717101479344,0.013805585196479618,0.5839293844429774,0.20373531943447026,-0.012933349276537408,-0.11054199730841519,0.006625737297657737,0.10256158710323773,0.04458304176109407,0.9999950544618861,4.945538041946824e-06,7.199616053029516e-14,0.0009354742716381822,"{'sigma': 0.09086846479862529, 'lam': -0.960015883349354}","{'sigma': 0.023669434746404816, 'mu': -0.1328945243026527, 'w0': 0.39263795087444153, 'delta': 4.1533443351227106e-11, 'psi': 0.2}",{'sigma': 0.056939019457418964},0.0018709485432763643
0.12,18.39078054922229,18.25940766488864,0.13137288433364702,0.11508942439298414,0.013245575607108413,0.554201878192584,0.12649315776934103,-0.07029053582298123,-0.04204557944758701,0.006303025637762855,0.025706217981065888,0.0884273841981905,0.9999999993155451,6.841040152102274e-10,3.507821993221052e-13,0.0007980191164598113,"{'sigma': 0.09545270546805344, 'lam': -1.0801605258496245}","{'sigma': 0.025632119918256535, 'mu': -0.166838847960862, 'w0': 0.4929267330827041, 'delta': 2.456163272768208e-09, 'psi': 0.2}",{'sigma': 0.05566145068181832},0.0015960382329196225
0.125,18.96824405547149,18.764407285943093,0.20383676952839735,0.11981364628168549,0.014355309835312847,0.557817363970434,0.12410609780171393,-0.09096872245542245,-0.07146851197505348,0.006385158914167581,-0.01340453963045699,-0.04085324862753314,0.9999999021025849,9.78916633166336e-08,5.751592729089547e-12,0.0008626819098074941,"{'sigma': 0.10109082211917968, 'lam': -1.109508039213416}","{'sigma': 0.02777588283613186, 'mu': -0.1729692126199298, 'w0': 0.511038945061796, 'delta': 2.2863697601849253e-09, 'psi': 0.2}",{'sigma': 0.05779912443715894},0.0017253638196149882
0.13,19.267854526347705,19.253541392035245,0.014313134312459397,0.11409594630719638,0.013017884963734641,0.5050479669158862,0.020247766069221237,-0.19126894012435125,0.02268881641936684,0.005925970331091763,-0.021866373309760986,-0.06812340874035752,0.9996445144059238,0.00035548019982188075,5.394254330896761e-09,0.002354869563673706,"{'sigma': 0.10802422286489372, 'lam': -1.339301600141672}","{'sigma': 0.043858194506540826, 'mu': -0.3420727006801647, 'w0': 1.0106565709699167, 'delta': 1.0975886866049223e-11, 'psi': 0.2}",{'sigma': 0.05493649575227249},0.001345639750670689
0.135,19.65216128762448,19.72462048931803,-0.07245920169355102,0.11702231556711688,0.013694222340689885,0.4882317866014667,-0.06883541019500782,-0.29407905764833187,0.138927474292085,0.005932802684837399,-0.03905643010115186,-0.03751204317139872,4.0167493775980814e-05,0.9999598316352803,8.709435352584149e-10,0.003465165416236584,"{'sigma': 0.12057391860169546, 'lam': -1.504585393887291}","{'sigma': 0.048137790236905786, 'mu': -0.34871489065157246, 'w0': 1.0302809754661737, 'delta': 3.1826075108654095e-10, 'psi': 0.2}",{'sigma': 0.056532395540756425},0.001980094523563762
0.14,20.161656814857913,20.180965992744348,-0.01930917788643427,0.12110553311059248,0.01466655015000081,0.46416997178169744,-0.1603491244823941,-0.4069637739013353,0.2697027241137295,0.006000977159926086,-0.06058713535705384,-0.06074309731118182,4.011421674074387e-14,0.9999999999999596,2.1069703871590298e-16,0.004632336726387521,"{'sigma': 0.13578569541979574, 'lam': -1.7141819695401865}","{'sigma': 0.034623790290966516, 'mu': -0.19374336385745505, 'w0': 1.0666509257493046, 'delta': 0.4942345845069649, 'psi': 0.2}",{'sigma': 0.05824920818736604},0.002647049557935726
0.14500000000000002,20.702113851745487,20.618509575829247,0.08360427591624031,0.1494328184038886,0.022330167216129553,0.465593657530402,-0.29897314510887857,-0.6114309387206254,0.5145937266021141,0.007247506335221575,-0.01755029232795833,0.030105687696615854,1.0865945270210623e-29,1.0,2.879048109537053e-30,0.022691514795927816,"{'sigma': 0.18114674430666675, 'lam': -1.9017629296641556}","{'sigma': 0.032600949385054534, 'mu': -0.10966914698089991, 'w0': 1.0670988234571497, 'delta': 0.7430804384550067, 'psi': 0.2}",{'sigma': 0.07190040414373881},0.006483289941693658
0.15,20.735182479370753,21.03163763478503,-0.2964551554142787,0.33057314915239566,0.10927860694053201,0.48043208366119744,-0.48161671450595583,-0.9198974879928455,0.9013074471087306,0.015717928008008097,-0.059299101554277985,-0.5661427115861849,4.1669679279685095e-46,1.0,4.392301444911837e-46,0.16237100481320613,"{'sigma': 0.42480047166866847, 'lam': -2.07118796593143}","{'sigma': 0.04976709339022656, 'mu': -0.010185725082370922, 'w0': 1.03517729748569, 'delta': 1.0050834900464798, 'psi': 0.2}",{'sigma': 0.15774776877089908},0.04639171566091601
