Dilution rate,Species,Sample,Variance,Lag-1 AC,Lag-2 AC,Lag-10 AC,AIC fold,AIC hopf,AIC null,Smax
0.04,Brachionus,89,2.5318025344820443,0.5209345864880781,0.46282637038105967,-0.2112161793614602,3.29536902588877e-18,1.0,9.163784154781914e-22,0.39336407687200625
0.04,Brachionus,90,2.723136093386137,0.422566080420714,0.3548594322853482,0.038956017815020866,0.9993926585130427,0.0006053504808890042,1.9910060682140775e-06,0.3041532679838248
0.04,Brachionus,91,2.479758832717111,0.4081626209493062,0.3955625500867117,0.230495663540073,1.9516469653227834e-38,1.0,1.1059620728261361e-40,0.5792578761580248
0.04,Brachionus,92,2.7723426620710585,0.4590488231205899,0.38108553807183754,-0.2293955595607708,3.0246443808171085e-12,0.9999999999969753,1.0404561198285661e-20,0.38191793344337865
0.04,Brachionus,93,2.1895379093831484,0.32192156744305966,0.3163150667712117,0.09839003581670382,0.9987078977742382,0.0012921022179698525,7.791810312010694e-12,0.18652267760440044
0.04,Brachionus,94,2.426538955300769,0.2648857537322917,0.3627965330691765,0.2242223274358671,0.9674040833065836,0.02074250326323471,0.011853413430181795,0.2416099393498431
0.04,Brachionus,95,2.7171234769528874,0.41138029757740546,0.33280498156935934,-0.19861241040334482,1.0577021148842158e-17,1.0,2.545501043631346e-21,0.42530468626405127
0.04,Brachionus,96,2.371869238480544,0.37341522047736725,0.4040666982057486,-0.26326586668119933,2.0583059216917987e-14,0.9999999999999793,6.059465367411679e-22,0.36746563890026723
0.04,Brachionus,97,2.5439131182507273,0.5350573528755803,0.41908496984096727,-0.2873953492941184,1.4306109092060536e-27,1.0,5.456117072382087e-32,0.5262133447969736
0.04,Brachionus,98,2.445353074507405,0.2870579986268836,0.3076943069336564,0.005219682350954065,7.441656786091999e-06,0.9999925568038844,1.5393293419344326e-09,0.2697351571144131
0.04,Brachionus,99,2.5659799515291617,0.2713619614351556,0.28319359230670077,0.036057734158212645,0.00019923395627301254,0.9997976316313543,3.134412372810567e-06,0.2724403999748733
0.04,Brachionus,100,2.6900898681485312,0.3085168909349709,0.32549561049244463,0.05166172828803602,9.743921684332227e-23,1.0,7.770388797416499e-25,0.4670599981622385
0.04,Chlorella,1,0.017159721469859925,0.587293606612447,0.4016304979489769,-0.07541842767956791,0.96108776397411,0.0389122360258875,2.461129378627191e-15,0.002388454188858204
0.04,Chlorella,2,0.016513287973439428,0.3651199526102081,0.3704749082849627,-0.05104123871865859,7.149042025018473e-11,0.9999999999278035,7.061213918893969e-13,0.0018102134825809602
0.04,Chlorella,3,0.016894483138834692,0.4124141943412712,0.2076262837193465,0.1779108569667342,0.0068826302951557426,0.9930612466742434,5.612303060086791e-05,0.0013779186232005824
0.04,Chlorella,4,0.016392243114845752,0.4687329040003629,0.3099017573969641,-0.1261316082924433,2.4301217333148e-17,1.0,8.701292723086017e-23,0.003330460034361345
0.04,Chlorella,5,0.020981374992358776,0.503100518048125,0.35896694752466246,-0.05803773102555541,6.865137123806789e-32,1.0,8.630053847282871e-35,0.005396419153551559
0.04,Chlorella,6,0.015418108051145227,0.49476219013596895,0.280670298821713,0.09309725249014228,8.7401910596512e-27,1.0,3.687336662795458e-29,0.0026834489233678828
0.04,Chlorella,7,0.019542380966738875,0.5451778466336274,0.35206969309318936,-0.26911595686185574,4.7479144390800846e-26,1.0,1.746256996496406e-31,0.0034563944441635716
0.04,Chlorella,8,0.016805485528224248,0.4278408856781314,0.26008734194233607,-0.10368540614489621,0.9999999169251812,8.180674323502649e-08,1.2680754696583387e-09,0.0016078106260789477
0.04,Chlorella,9,0.017986505049194277,0.6344364339333366,0.3730114837911431,-0.2779370845064533,0.9999996708485708,3.291504065381052e-07,1.0227489371443865e-12,0.0008844930923677088
0.04,Chlorella,10,0.01837288550329053,0.5238688424733721,0.3535683930472098,-0.039987291036017655,0.2509496171487008,0.7490498327617477,5.500895515119328e-07,0.0014983564240213312
0.04,Chlorella,11,0.02023715784531306,0.647557828783823,0.35148464383783723,-0.2409920566121862,8.58956487366179e-15,0.9999999999999913,2.2886317617118205e-18,0.0031290852573071797
0.04,Chlorella,12,0.019248369484526365,0.60334254098051,0.3517946678288083,0.08949981816155946,4.09324834099555e-06,0.9999959066771861,7.44729080597962e-11,0.0026811569290666293
0.04,Chlorella,13,0.017951191026375084,0.6287949449019785,0.39720152346511933,0.130927998309941,8.133567204517757e-35,1.0,4.848329021765065e-38,0.0033902425007117823
0.04,Chlorella,14,0.018778707601474744,0.51205512493546,0.10958198878142855,-0.10583635996606662,3.4099695609161407e-14,0.9999999999999658,1.1047468268746205e-18,0.002844830428015724
0.04,Chlorella,15,0.015952829659996483,0.36639575949787623,0.372754900170666,-0.014643128198822705,0.001554902221976194,0.9984450976027481,1.7527567428099856e-10,0.0019363068337961901
0.04,Chlorella,16,0.020069821700098845,0.47248882813604537,0.3447895134750825,-0.3208437393751369,2.0638983092677115e-06,0.9999979360832857,1.840503742381581e-11,0.002155880577249471
0.04,Chlorella,17,0.01847561235416789,0.5442524942000844,0.3609769552039961,-0.28302276275024046,3.502054726917015e-16,0.9999999999999996,9.03425155956095e-22,0.003246794916057192
0.04,Chlorella,18,0.01874650823374134,0.4005737502643719,0.2171821005770526,-0.09448942367203407,0.017436699284910054,0.9825632895797018,1.1135388116468294e-08,0.0016421864726186744
0.04,Chlorella,19,0.021514039682781424,0.5844863272172808,0.27187684143174506,-0.2658926505555878,0.0007385370593411283,0.9992614629394104,1.2484333466124632e-12,0.0028389475328354486
0.04,Chlorella,20,0.01582507000093653,0.35866741246360195,0.3245381926094862,-0.05404633043234869,0.9802060071168541,0.019793992091674158,7.914718204867616e-10,0.0013535246243568547
0.04,Chlorella,21,0.013951719831085034,0.32334796770778934,0.16019332875424858,0.004682104683593941,0.2412129581502432,0.090449618741934,0.6683374231078228,0.0009151776745492965
