Delta,Frequency,Empirical
0.64,-2.356194490192345,0.0012056226562817127
0.64,-2.199114857512855,0.0006434277169135073
0.64,-2.0420352248333655,0.0006760982607003415
0.64,-1.884955592153876,0.0018917315504653615
0.64,-1.7278759594743864,0.0018556867309275629
0.64,-1.5707963267948966,0.0009336928979856662
0.64,-1.413716694115407,0.002145080614192356
0.64,-1.2566370614359172,0.0015608959988603268
0.64,-1.0995574287564276,0.0025262351721058425
0.64,-0.942477796076938,0.007588389095573022
0.64,-0.7853981633974483,0.004145998613757731
0.64,-0.6283185307179586,0.009284350998899526
0.64,-0.471238898038469,0.029969195547936
0.64,-0.3141592653589793,0.04820233582959207
0.64,-0.15707963267948966,0.0685570965107017
0.64,0.0,0.027008825262775513
0.64,0.15707963267948966,0.0685570965107017
0.64,0.3141592653589793,0.04820233582959207
0.64,0.471238898038469,0.029969195547936
0.64,0.6283185307179586,0.009284350998899526
0.64,0.7853981633974483,0.004145998613757731
0.64,0.942477796076938,0.007588389095573022
0.64,1.0995574287564276,0.0025262351721058425
0.64,1.2566370614359172,0.0015608959988603268
0.64,1.413716694115407,0.002145080614192356
0.64,1.5707963267948966,0.0009336928979856662
0.64,1.7278759594743864,0.0018556867309275629
0.64,1.884955592153876,0.0018917315504653615
0.64,2.0420352248333655,0.0006760982607003415
0.64,2.199114857512855,0.0006434277169135073
0.64,2.356194490192345,0.0012056226562817127
0.64,2.5132741228718345,0.0024505824592549927
0.67,-2.5132741228718345,0.0011272747183848266
0.67,-2.356194490192345,0.0014640754613490495
0.67,-2.199114857512855,0.0020397101646396068
0.67,-2.0420352248333655,0.002926239483679908
0.67,-1.884955592153876,0.004591665247464106
0.67,-1.7278759594743864,0.005193836148663867
0.67,-1.5707963267948966,0.004045849466116804
0.67,-1.413716694115407,0.003913938641122324
0.67,-1.2566370614359172,0.001961074808908838
0.67,-1.0995574287564276,0.0018792337747437493
0.67,-0.942477796076938,0.0020294440512741594
0.67,-0.7853981633974483,0.005729968941741722
0.67,-0.6283185307179586,0.010089173590967887
0.67,-0.471238898038469,0.011233550125144128
0.67,-0.3141592653589793,0.021516688205738908
0.67,-0.15707963267948966,0.042732637439039586
0.67,0.0,0.01342571532522365
0.67,0.15707963267948966,0.042732637439039586
0.67,0.3141592653589793,0.021516688205738908
0.67,0.471238898038469,0.011233550125144128
0.67,0.6283185307179586,0.010089173590967887
0.67,0.7853981633974483,0.005729968941741722
0.67,0.942477796076938,0.0020294440512741594
0.67,1.0995574287564276,0.0018792337747437493
0.67,1.2566370614359172,0.001961074808908838
0.67,1.413716694115407,0.003913938641122324
0.67,1.5707963267948966,0.004045849466116804
0.67,1.7278759594743864,0.005193836148663867
0.67,1.884955592153876,0.004591665247464106
0.67,2.0420352248333655,0.002926239483679908
0.67,2.199114857512855,0.0020397101646396068
0.67,2.356194490192345,0.0014640754613490495
0.67,2.5132741228718345,0.0011272747183848266
0.69,-2.5132741228718345,9.585280139574165e-06
0.69,-2.356194490192345,0.00015023954992873724
0.69,-2.199114857512855,1.88657095949032e-06
0.69,-2.0420352248333655,6.861811825206871e-05
0.69,-1.884955592153876,3.90311184248562e-05
0.69,-1.7278759594743864,0.00019515690020859854
0.69,-1.5707963267948966,0.0013208184231199242
0.69,-1.413716694115407,0.0004911929067091617
0.69,-1.2566370614359172,0.0035521820966412745
0.69,-1.0995574287564276,0.004896999331686355
0.69,-0.942477796076938,0.006768655173300227
0.69,-0.7853981633974483,0.003283471810487737
0.69,-0.6283185307179586,0.003895409339452098
0.69,-0.471238898038469,0.022462124461971055
0.69,-0.3141592653589793,0.029098816837476338
0.69,-0.15707963267948966,0.029530882958867143
0.69,0.0,0.000854323595887792
0.69,0.15707963267948966,0.029530882958867143
0.69,0.3141592653589793,0.029098816837476338
0.69,0.471238898038469,0.022462124461971055
0.69,0.6283185307179586,0.003895409339452098
