Realisation number,Variable,index,Lag-2 AC,Smax,Lag-10 AC,Lag-1 AC,Standard deviation,Coefficient of variation,Variance,Skewness,Kurtosis
16,Chlorella,0,-0.8530902202225906,0.8285714285714286,0.5044281316599574,-0.8421027705422686,0.5800142079090694,0.42666350935354014,0.5800142079090694,0.512573999526403,0.31584181861236094
16,Brachionus,0,-0.7793985318493962,-0.37142857142857144,0.39521667061330806,-0.713379114373668,-0.2457494672034099,-0.41273975846554584,-0.2457494672034099,0.5909069381955956,-0.6440445181150841
17,Chlorella,0,-0.7760833530665404,0.8,-0.5930854842529009,-0.6954771489462468,0.7632962349040966,0.7392375088799432,0.7632962349040966,0.6992659246980819,0.6000000000000001
17,Brachionus,0,-0.6441392375088799,0.6,-0.7090220222590575,-0.5284868576841109,0.3526876627989581,-0.02552687662798958,0.3526876627989581,-0.14136869524035045,0.34084773857447315
18,Chlorella,0,-0.8959981056121242,0.8952380952380954,-0.33222827373904806,-0.8632251953587498,0.9285815770779068,0.9113426474070566,0.9285815770779068,0.4223064172389297,-0.40279422211697846
18,Brachionus,0,-0.8746862420080512,-0.2761904761904762,0.49647170258110346,-0.8364196069145158,0.050248638408714186,-0.29026758228747335,0.050248638408714186,-0.1551977267345489,-0.12507695950745917
19,Chlorella,0,-0.8910726971347385,0.6571428571428571,0.26753492777646226,-0.878759175941274,0.8555529244612835,0.8169074117925645,0.8555529244612835,0.5773620648827849,0.4751598389770306
19,Brachionus,0,-0.8420080511484727,-0.7238095238095239,0.0004262372720814587,-0.8489225668955719,-0.6964243428842056,-0.798531849396164,-0.6964243428842056,-0.20492540847738577,0.18787591759412742
20,Chlorella,0,-0.8429552450864315,0.8761904761904763,-0.6920672507695952,-0.8304522851053753,0.8475017759886337,0.8244849632962349,0.8475017759886337,0.4755387165522141,0.4549846080985082
20,Brachionus,0,-0.7486147288657353,0.380952380952381,-0.19914752545583708,-0.677954061094009,0.5436419606914515,0.3741889651906228,0.5436419606914515,0.68666824532323,0.5169310916410136
21,Chlorella,0,-0.8849159365380062,0.8666666666666668,-0.27738574473123373,-0.8249585602652144,0.8331991475254559,0.784323940326782,0.8331991475254559,0.5843713000236799,0.28202699502723183
