Delta,State variable,Smoothing,Residuals,Standard deviation,Variance,Lag-1 AC,Lag-2 AC,Lag-4 AC,Coefficient of variation,Skewness,Kurtosis,AIC fold,AIC hopf,AIC null,Coherence factor,Params fold,Params hopf,Params null,Smax
0.24000000000000002,0.28026210806504154,0.9316583647130071,-0.6513962566479656,1.2395990409128899,1.5366057822321562,0.7826507700770139,0.39622275200982177,-0.3445643772378828,1.330441391654099,0.8636774046980715,-1.0070452069792595,2.588569272899095e-24,1.0,1.251100939311075e-26,0.8388324794309159,"{'sigma': 0.9744676551012921, 'lam': -0.9089728797601273}","{'sigma': 0.24855729277706384, 'mu': -0.09305752884955454, 'w0': 0.45670155235454, 'delta': 0.18176232796744474, 'psi': 0.2}",{'sigma': 0.595701511791022},0.5592216529539441
0.25,0.0012623468350974722,0.9605999208771092,-0.9593375740420117,1.2660551138796372,1.6028955513807812,0.7832731776782665,0.3971087219486796,-0.3470589017635695,1.3179925980396066,0.8408185078180584,-1.0513698029177811,7.697418393351693e-25,1.0,3.880879036524368e-27,0.8784462653774479,"{'sigma': 0.9956230142791314, 'lam': -0.909143740420336}","{'sigma': 0.25677584478016446, 'mu': -0.09446628424892145, 'w0': 0.460472025239695, 'delta': 0.18137062158949835, 'psi': 0.2}",{'sigma': 0.6082255385698812},0.5856308435849654
0.26,0.9212655036372128,0.9858405563778508,-0.06457505274063802,1.2895913693156782,1.663045899813486,0.7847862227347681,0.401186512325623,-0.3453451177928173,1.3082083501475634,0.8188667052512524,-1.094350430228059,8.869545788466419e-26,1.0,4.38145672586027e-28,0.918995124631148,"{'sigma': 1.0156379262431956, 'lam': -0.9059276434143659}","{'sigma': 0.2650775946935173, 'mu': -0.09554951115456012, 'w0': 0.46239484353402094, 'delta': 0.18009303719794367, 'psi': 0.2}",{'sigma': 0.621618910447152},0.6126634164207655
0.27,0.06937529002030214,1.0231001988002912,-0.9537249087799891,1.3297371252777934,1.76820082234205,0.7861070678471465,0.4099366473077634,-0.33339816688628354,1.299618812797715,0.7998554361649314,-1.1393748178176752,7.129710726883009e-26,1.0,3.8841503743993636e-28,0.9820987282725493,"{'sigma': 1.0379606870420572, 'lam': -0.8985511165647799}","{'sigma': 0.265823917277342, 'mu': -0.09162945940964451, 'w0': 0.4549840122956553, 'delta': 0.1842640306612291, 'psi': 0.2}",{'sigma': 0.6382081730923175},0.654732485515033
0.28,1.2207290963728603,1.0301105206378103,0.19061857573505003,1.3265358684384367,1.7596974102537173,0.7801330055721054,0.3941643095895246,-0.3609894571656678,1.2878205754548206,0.784783293602253,-1.1629740469289203,1.1494564563754189e-26,1.0,9.697581240727783e-29,1.0019190489565528,"{'sigma': 1.050663598533196, 'lam': -0.9203734524810145}","{'sigma': 0.264380610819436, 'mu': -0.09152235766502548, 'w0': 0.4759087908440879, 'delta': 0.2055052421835446, 'psi': 0.2}",{'sigma': 0.6374329883401288},0.667946032637702
0.29000000000000004,3.4315980028254045,1.0516025860413214,2.379995416784083,1.3439416141281963,1.8061790621855018,0.7800532257719996,0.3947452511360636,-0.36183993094818984,1.2780035416574504,0.77176313920809,-1.1787214795345127,1.6908917239831396e-27,1.0,1.3360593455277576e-29,1.023788865937365,"{'sigma': 1.0624406821756796, 'lam': -0.9180724350527116}","{'sigma': 0.26922471461297026, 'mu': -0.09191466702717044, 'w0': 0.47989172188464047, 'delta': 0.20832909202904082, 'psi': 0.2}",{'sigma': 0.6455789310113468},0.6825259106249103
0.3,0.0034026328896595514,1.076968038374229,-1.0735654054845696,1.362357435046062,1.8560177808252853,0.7819850990126651,0.3971497497871589,-0.3629850027628419,1.2650042916333704,0.7467313543189767,-1.2228944766940084,2.0862946668285234e-28,1.0,1.821338354516891e-30,1.0600948537644803,"{'sigma': 1.0784162536431399, 'lam': -0.9197758781552943}","{'sigma': 0.272741229679206, 'mu': -0.09109718620373664, 'w0': 0.48334300486233883, 'delta': 0.21419562873553288, 'psi': 0.2}",{'sigma': 0.654112320944921},0.7067299025096537
0.31,0.0006752327146167358,1.0994044313026579,-1.0987291985880412,1.3742362552261282,1.8885252851779322,0.7816585350134899,0.39364711074983405,-0.37561410978566756,1.2499819254442777,0.7243814708156702,-1.257026106310187,7.443694395561617e-29,1.0,8.434657456285361e-31,1.0913845747834712,"{'sigma': 1.0897223311430482, 'lam': -0.9271927857342881}","{'sigma': 0.2670648406583829, 'mu': -0.08636705630354857, 'w0': 0.49129478257256437, 'delta': 0.23612261363302878, 'psi': 0.2}",{'sigma': 0.6575734612378248},0.7275897165223143
0.32,0.24188694291047896,1.1141621289241153,-0.8722751860136363,1.3857981371124453,1.9204364768243238,0.7826183007881203,0.39427085723603883,-0.37765356403836664,1.2437966660267126,0.7143137272409769,-1.2712331382697746,1.2649230471118244e-29,1.0,1.4520348601637343e-31,1.1162061119949935,"{'sigma': 1.1038348947332837, 'lam': -0.9277366166606806}","{'sigma': 0.26956942618722524, 'mu': -0.08460177691090309, 'w0': 0.497162232966903, 'delta': 0.2472055963227191, 'psi': 0.2}",{'sigma': 0.6658663119354342},0.7441374079966625
0.33,0.008210016195496063,1.131163146168153,-1.122953129972657,1.3918191169195688,1.9371604542227685,0.78174496540351,0.38952641506460794,-0.38943313831215737,1.2304212510717778,0.6956944926773464,-1.2952271677867317,2.2672606693103144e-30,1.0,2.7334590494296305e-32,1.1214997513453562,"{'sigma': 1.1156561610683415, 'lam': -0.9345084105811305}","{'sigma': 0.26644227602415027, 'mu': -0.07943329753887407, 'w0': 0.5072794447522924, 'delta': 0.27259312236826583, 'psi': 0.2}",{'sigma': 0.6698347994003903},0.7476665008969043
