Delta,State variable,Smoothing,Residuals,Standard deviation,Variance,Lag-1 AC,Lag-2 AC,Lag-4 AC,Coefficient of variation,Skewness,Kurtosis,AIC fold,AIC hopf,AIC null,Coherence factor,Params fold,Params hopf,Params null,Smax
0.11,17.331190956599755,17.19129802490103,0.13989293169872496,0.1194605927089924,0.014270833210383768,0.6125143473161163,0.22701458754323897,-0.10802557738147844,0.006948892898103476,-0.006907557014784317,0.009693002048437262,0.8793954435870356,0.12060455640344539,9.518903031826154e-12,0.001000047844230457,"{'sigma': 0.09213308772307723, 'lam': -0.957445207754787}","{'sigma': 0.024857849289923406, 'mu': -0.13539544513524016, 'w0': 0.40002694190926075, 'delta': 1.75070846708536e-10, 'psi': 0.2}",{'sigma': 0.057389244863490875},0.002000095688460914
0.12,18.093885766388546,18.259334297407392,-0.16544853101884627,0.1163215224168282,0.013530696577368663,0.5644378983902196,0.1900230152303259,-0.10664356542018677,0.006370525042408216,0.019384953159871224,-0.1241477926453669,0.9999738276275195,2.617236910921117e-05,3.3712720043119108e-12,0.0008611426237479871,"{'sigma': 0.0937103845349428, 'lam': -1.027955138296139}","{'sigma': 0.027707919998934294, 'mu': -0.17192228916121421, 'w0': 0.5079457989493836, 'delta': 3.12079251330033e-11, 'psi': 0.2}",{'sigma': 0.0563582407328783},0.0017222852474959743
0.13,19.11866596368341,19.25298304781265,-0.13431708412923982,0.1137409412654946,0.01293700171996069,0.5237767661152928,0.017937566986670376,-0.09946296803363691,0.005907705091680364,-0.01788235304114403,0.033238720230487774,0.9630262644184733,0.036973546719033176,1.8886249346723158e-07,0.0026360445402451634,"{'sigma': 0.10788184398544941, 'lam': -1.3318814401764127}","{'sigma': 0.044449655130114785, 'mu': -0.3412027329890248, 'w0': 1.0080862444346497, 'delta': 8.120615291318245e-11, 'psi': 0.2}",{'sigma': 0.05479690230135115},0.001506311165854379
0.14,20.234025845487295,20.17891099039004,0.05511485509725489,0.12430122671328805,0.015450794962428236,0.4855096254953322,-0.13890511582857173,-0.15333711201995268,0.006159959882522325,-0.024751394398523995,-0.0414444584173829,2.8937675033411548e-11,0.9999999999709459,1.1625673427221805e-13,0.005080883412419195,"{'sigma': 0.13574888403097463, 'lam': -1.6501327580614267}","{'sigma': 0.03333906113143592, 'mu': -0.17925585810395384, 'w0': 1.078161888464615, 'delta': 0.5485490005743494, 'psi': 0.2}",{'sigma': 0.05964697368643802},0.0029033619499538254
0.15000000000000002,20.65579087417757,21.033511163157307,-0.377720288979738,0.31267960762176894,0.09776853702250338,0.48129672950423263,-0.4779117940625958,-0.4053998609194086,0.01486578303042633,-0.019770078717417046,-0.8768842679766075,1.0245565168883303e-46,1.0,1.067045118769359e-46,0.14497830926226055,"{'sigma': 0.4024428164304399, 'lam': -2.0700398234939223}","{'sigma': 0.04710726326412762, 'mu': -0.01012659871821997, 'w0': 1.0350531400651892, 'delta': 1.0051340219488254, 'psi': 0.2}",{'sigma': 0.14949844691304556},0.04142237407493156
0.16,22.77236100298838,21.58382142321432,1.1885395797740586,1.5449269207146479,2.386799190348844,0.5233081688637413,-0.43141807251741254,-0.6208583583573632,0.07157813941503965,0.010829225496673783,-1.4756202519585013,3.707598628581801e-43,1.0,3.731623366661466e-43,2.7995455896941803,"{'sigma': 1.9314959602465458, 'lam': -1.9627978544518265}","{'sigma': 0.2533377622077966, 'mu': -4.578080339046053e-06, 'w0': 1.0167774919163826, 'delta': 1.016763965940858, 'psi': 0.2}",{'sigma': 0.7413054052069231},0.9331818632313941
0.17,24.68371846986431,21.95529372917507,2.7284247406892383,2.650332808710751,7.024263996928617,0.5800582242358532,-0.30063040947259556,-0.8075552156943948,0.12071477110668365,0.03392456598826944,-1.474560787005217,5.674716680169089e-38,1.0,4.99140065115712e-38,10.285521141809719,"{'sigma': 3.120280464106318, 'lam': -1.7872323450406893}","{'sigma': 0.5290066808525666, 'mu': -0.07763471322797422, 'w0': 0.9209165227318625, 'delta': 0.6915441322945253, 'psi': 0.2}",{'sigma': 1.2703293116058836},3.428507047269908
0.18000000000000002,15.00754353121437,20.11079215194496,-5.103248620730589,10.317195270553702,106.44451825073567,0.7988005678803533,0.3453413747026608,-0.49846527583449596,0.5130242909804016,0.5695029015487555,-1.006957623575748,3.453442055149937e-35,1.0,9.279692606223486e-37,55.16198376413434,"{'sigma': 8.648726928094042, 'lam': -0.9993706304379448}","{'sigma': 1.5803109347211657, 'mu': -1.9104000974046187e-05, 'w0': 0.5451064561494635, 'delta': 0.5450500132235077, 'psi': 0.2}",{'sigma': 4.958132574674697},36.77465584275624
0.19,24.697148321467278,19.786579942037804,4.910568379429474,12.299276846411344,151.27221094467018,0.8128893042541371,0.40250140764098763,-0.3602894788719593,0.6215750086300175,0.7026062235557378,-0.7892765765401071,6.670294495699585e-32,1.0,7.337120493334504e-34,89.9007523866591,"{'sigma': 9.759822969600993, 'lam': -0.9153529299582948}","{'sigma': 2.4216721992588432, 'mu': -0.08493717270641166, 'w0': 0.49629596434523016, 'delta': 0.24534839810061704, 'psi': 0.2}",{'sigma': 5.8902742557861245},59.93383492443942
0.2,7.361497849993138,19.529086435285688,-12.167588585292549,13.388932574327033,179.2635154798755,0.8173473507012836,0.42378830677700846,-0.3021812739479954,0.6855827325772796,0.7857409866969909,-0.6418228620132694,1.0418000389105777e-29,1.0,5.565133428335423e-32,103.39804389584252,"{'sigma': 10.41869283675424, 'lam': -0.8808294804679573}","{'sigma': 2.7215446571513198, 'mu': -0.0912359826573943, 'w0': 0.45418356371137175, 'delta': 0.18462611233554416, 'psi': 0.2}",{'sigma': 6.434712534407189},68.93202926389503
