Variable,Delta,State variable,Smoothing,Residuals,Standard deviation,Variance,Lag-1 AC,Lag-2 AC,Lag-4 AC,Coefficient of variation,Skewness,Kurtosis,AIC fold,AIC hopf,AIC null,Coherence factor,Params fold,Params hopf,Params null,Smax
Brachionus,0.14,4.046805169097459,4.0357821980780155,0.011022971019443162,0.024860245342657288,0.0006180317984971133,0.48550962549534094,-0.1389051158285557,-0.15333711201995975,0.006159959882522248,-0.024751394398564327,-0.041444458417474864,2.8937675020166684e-11,0.9999999999709459,1.1625673428193245e-13,0.00020323533649675498,"{'sigma': 0.027149818835897347, 'lam': -1.6501360417811484}","{'sigma': 0.0066678123218710805, 'mu': -0.17925586144298733, 'w0': 1.0781618854833699, 'delta': 0.5485489877279028, 'psi': 0.2}",{'sigma': 0.01192939473540944},0.0001161344779981457
Chlorella,0.15000000000000002,5.895157352549305,5.528850597399548,0.36630675514975675,0.4970710966104753,0.2470796750855405,0.4850123699651604,-0.5154197005135625,-0.44796500377543363,0.08990526209482781,0.19130576994179269,-0.9651922024985691,3.714620061580716e-46,1.0,4.284665496468083e-46,0.19383572601725163,"{'sigma': 0.6488827891226324, 'lam': -2.0919690423569737}","{'sigma': 0.07720680370990318, 'mu': -4.240125255283722e-05, 'w0': 1.0340822094894224, 'delta': 1.0339569346445598, 'psi': 0.2}",{'sigma': 0.2388852437072536},0.11076327200985807
Brachionus,0.15000000000000002,4.131158174835514,4.206702232631448,-0.0755440577959341,0.06253592152435394,0.0039107414809001545,0.48129672950423286,-0.47791179406259726,-0.40539986091940894,0.014865783030426403,-0.019770078717413018,-0.8768842679765954,1.0245565119509193e-46,1.0,1.0670451181951428e-46,0.0057991323704904615,"{'sigma': 0.08048898829925287, 'lam': -2.0700533707168454}","{'sigma': 0.00942144763381969, 'mu': -0.010126255236556414, 'w0': 1.0350531183499503, 'delta': 1.0051350150529497, 'psi': 0.2}",{'sigma': 0.02989968935913089},0.0016568949629972736
Chlorella,0.16,3.3257522755941142,5.923017727463918,-2.597265451869804,2.497380418250806,6.236908953462571,0.46120428079124365,-0.4364163252173286,-0.5907379928717352,0.4216399268230806,0.5992861065748233,-1.0647914410443684,9.076716857912229e-39,1.0,9.662861633423811e-39,6.8759295103226865,"{'sigma': 3.22195680719052, 'lam': -2.07253575369404}","{'sigma': 0.39707299247721606, 'mu': -2.861806207410389e-05, 'w0': 1.0167728612118394, 'delta': 1.0166883089151324, 'psi': 0.2}",{'sigma': 1.199609951379231},2.291976503440897
Brachionus,0.16,4.554472200597676,4.31676428464287,0.23770791595480567,0.30898538414292964,0.0954719676139538,0.5233081688637412,-0.4314180725174127,-0.620858358357363,0.07157813941503977,0.010829225496675915,-1.4756202519585042,3.707616998974368e-43,1.0,3.731641856287428e-43,0.11198182358776733,"{'sigma': 0.3862988413893878, 'lam': -1.9627956900720096}","{'sigma': 0.05066755537373613, 'mu': -2.563113170195308e-05, 'w0': 1.0167767343584408, 'delta': 1.0167010069717648, 'psi': 0.2}",{'sigma': 0.14826108008714436},0.0373272745292558
Chlorella,0.17,2.7397504243290327,6.497298236308838,-3.7575478119798054,4.216797882450887,17.781384381442287,0.4608055153474762,-0.33343414285446193,-0.6703247813923139,0.6490122976660105,0.8512446748772002,-0.6428763593868102,5.5608064303907165e-31,1.0,5.367740780858111e-31,22.876249064028336,"{'sigma': 5.246366237658065, 'lam': -1.9795005002468518}","{'sigma': 0.8008041822898195, 'mu': -0.0792447652238788, 'w0': 0.922207082349439, 'delta': 0.6880777802204905, 'psi': 0.2}",{'sigma': 2.0214771501172795},7.6254163546761164
Brachionus,0.17,4.936743693972862,4.391058745835014,0.5456849481378478,0.5300665617421506,0.2809705598771452,0.5800582242358535,-0.3006304094725956,-0.8075552156943946,0.12071477110668365,0.0339245659882705,-1.4745607870052109,5.674716676629042e-38,1.0,4.991400651413611e-38,0.4114208456723884,"{'sigma': 0.6240576961726771, 'lam': -1.7872381633405217}","{'sigma': 0.1058013370702835, 'mu': -0.07763471459533444, 'w0': 0.9209165251197635, 'delta': 0.6915441306425494, 'psi': 0.2}",{'sigma': 0.2540658617764629},0.13714028189079622
Chlorella,0.18000000000000002,35.338118770627894,12.74275001488538,22.595368755742513,16.89761415936757,285.5293642788594,0.7167895649675522,0.23211085669990203,-0.4703113291572875,1.3259082769975685,1.0028638963479257,-0.6237739986818581,2.271146096716841e-21,1.0,4.623423108225927e-23,126.18999534041454,"{'sigma': 14.709785862789714, 'lam': -1.0993326660883058}","{'sigma': 2.394045919016937, 'mu': -0.00037816149032932067, 'w0': 0.5451219394253682, 'delta': 0.5440046582324376, 'psi': 0.2}",{'sigma': 8.110024426557526},84.12666356027638
Brachionus,0.18000000000000002,3.0015087062428742,4.022158430388989,-1.0206497241461143,2.063439054110739,4.25778073002942,0.7988005678803536,0.34534137470266074,-0.4984652758344959,0.5130242909804014,0.569502901548754,-1.0069576235757605,3.4534629656144705e-35,1.0,9.279748795263725e-37,2.206479350565375,"{'sigma': 1.72974555835107, 'lam': -0.9993707600669235}","{'sigma': 0.3160622496841383, 'mu': -5.3863552334387776e-05, 'w0': 0.5451067059701009, 'delta': 0.5449475656674878, 'psi': 0.2}",{'sigma': 0.9916265168541463},1.4709862337102502
Chlorella,0.19,0.04122004138983468,14.891878582495657,-14.850658541105823,20.24438785882115,409.83523977838513,0.7538093375479248,0.3318546270362547,-0.39653785564793465,1.3596069376944637,0.9745856481629681,-0.7394941524191938,1.2740115843029253e-22,1.0,1.0104666084660037e-24,215.8303995430111,"{'sigma': 16.498088299794244, 'lam': -0.9805723436029039}","{'sigma': 3.9361212689495115, 'mu': -0.09024294620008311, 'w0': 0.49387319273896174, 'delta': 0.22724967563730392, 'psi': 0.2}",{'sigma': 9.696790901525548},143.88693302867412
