Realisation number,Variable,AIC fold,AIC hopf,AIC null
64,Brachionus,3.803769835009553e-37,1.0,5.76610314380571e-38
65,Chlorella,7.924242889773756e-33,1.0,5.910736796163644e-34
65,Brachionus,2.348887764474331e-32,1.0,1.4800039816203193e-33
66,Chlorella,3.431910093085278e-15,0.9999999999999964,1.1489636768154696e-16
66,Brachionus,1.8833543366903353e-18,1.0,1.895819015890382e-19
67,Chlorella,9.753022527678041e-32,1.0,1.3245615917787893e-32
67,Brachionus,3.760875446594753e-34,1.0,1.0637481841930387e-34
68,Chlorella,3.8244833042738994e-26,1.0,6.331097601341844e-27
68,Brachionus,2.2153980497964977e-30,1.0,4.2679323870676145e-31
69,Chlorella,2.2630816910876234e-27,1.0,8.511689028517778e-29
69,Brachionus,5.330266142732594e-30,1.0,2.4377209646771563e-31
70,Chlorella,3.4293587842830614e-27,1.0,1.6050848210759757e-28
70,Brachionus,1.9811509612726765e-29,1.0,1.718828097812972e-30
71,Chlorella,1.2045179264216642e-40,1.0,4.236553226129609e-41
71,Brachionus,6.912459779685364e-42,1.0,2.6764523402299557e-42
72,Chlorella,1.7361001580439686e-18,1.0,2.4674918878865163e-20
72,Brachionus,5.731281905281601e-19,1.0,2.0854759403629744e-20
73,Chlorella,1.5314874370778382e-40,1.0,4.822537009996966e-41
73,Brachionus,6.3959300515574615e-37,1.0,1.9463049018256036e-37
74,Chlorella,9.66669842574338e-33,1.0,8.187215952827603e-34
74,Brachionus,3.2602574712830304e-34,1.0,4.3058819455358555e-35
75,Chlorella,7.541193730479512e-24,1.0,2.0412238611468834e-25
75,Brachionus,2.894353269779943e-23,1.0,1.33349783073115e-24
76,Chlorella,8.241901187831362e-28,1.0,3.662951844886936e-29
76,Brachionus,1.315458378611131e-32,1.0,1.0075701398219524e-33
77,Chlorella,6.949355054358845e-19,1.0,1.532701572967886e-20
77,Brachionus,4.016178941945059e-18,1.0,1.8306845551862008e-19
78,Chlorella,2.626329967835652e-31,1.0,3.929198565130595e-32
78,Brachionus,2.546523101318786e-38,1.0,4.225402348982631e-39
79,Chlorella,1.645723043529909e-36,1.0,5.922995795788009e-37
79,Brachionus,1.4803353033712246e-32,1.0,7.051917419917368e-33
80,Chlorella,2.530283967144396e-29,1.0,2.6897335811223046e-30
80,Brachionus,5.015752160996712e-35,1.0,9.754270004362749e-36
81,Chlorella,6.677733342164274e-31,1.0,2.969150182042552e-32
81,Brachionus,2.091163748507041e-36,1.0,1.5079736878765628e-37
82,Chlorella,1.453299838944204e-12,0.9999999999985458,8.020587357295833e-16
82,Brachionus,2.4097878190969395e-16,0.9999999999999998,6.390775650143733e-19
83,Chlorella,3.4676794754494365e-28,1.0,1.4537517394648107e-29
83,Brachionus,4.405873060208263e-25,1.0,2.134258295795538e-26
84,Chlorella,7.548677126910407e-14,0.9999999999999236,8.543288767292626e-16
84,Brachionus,2.4734822603444823e-16,0.9999999999999998,6.0731488562451835e-18
85,Chlorella,3.6583450054751237e-29,1.0,1.1773942233081393e-31
85,Brachionus,2.6139847259506776e-28,1.0,1.627980682873133e-30
86,Chlorella,2.1076179233566633e-20,1.0,8.167119165650456e-22
86,Brachionus,1.5315146554523285e-23,1.0,7.113032278471628e-25
87,Chlorella,2.518857458073026e-31,1.0,3.0934377969436297e-32
87,Brachionus,8.040588783578364e-34,1.0,1.2885650584899978e-34
88,Chlorella,7.721427958743121e-32,1.0,1.2190259267238193e-32
88,Brachionus,9.700251102117261e-34,1.0,1.3792276136067772e-34
89,Chlorella,3.8895268123262245e-22,1.0,4.383402717477013e-24
89,Brachionus,1.9125602143596184e-26,1.0,4.428182880652794e-28
90,Chlorella,2.4569895124432413e-24,1.0,1.0040704036995054e-25
90,Brachionus,5.062038476809e-29,1.0,2.757575356455695e-30
91,Chlorella,1.533339434695947e-25,1.0,1.6984650355949062e-27
91,Brachionus,1.997549024108845e-27,1.0,3.3470578481248e-29
92,Chlorella,2.533436965304757e-44,1.0,8.754280613235251e-45
92,Brachionus,1.6035603146548687e-52,1.0,5.587693951407639e-53
93,Chlorella,8.536758392919877e-33,1.0,9.386439811304082e-34
93,Brachionus,3.197800324349357e-29,1.0,4.522788315211346e-30
94,Chlorella,4.8598980880439466e-37,1.0,9.901599105593807e-38
94,Brachionus,1.0707902491553774e-41,1.0,2.6353086849624114e-42
95,Chlorella,3.9285184577948665e-33,1.0,3.4856052081417596e-34
95,Brachionus,2.9566282817404415e-34,1.0,2.3456047487966356e-35
96,Chlorella,3.2836205213334573e-12,0.999999999996708,8.429103593877561e-15
96,Brachionus,1.4053700801707213e-08,0.9999999858461308,1.0016836644385294e-10
97,Chlorella,4.193379864967095e-28,1.0,5.951586979796476e-29
97,Brachionus,2.439737813254436e-31,1.0,5.445430937430148e-32
98,Chlorella,1.1765934335500978e-23,1.0,1.1260796408112926e-24
98,Brachionus,1.734563095833846e-24,1.0,1.5615191667488182e-25
99,Chlorella,1.594898303034473e-24,1.0,6.581710896836874e-26
99,Brachionus,9.66923850426655e-28,1.0,5.733178344143927e-29
100,Chlorella,5.066266878341766e-41,1.0,1.2091272514523653e-41
100,Brachionus,9.856211850691653e-36,1.0,2.7568561480155185e-36
